establishment_name,city,state,establishment_type,created_timestamp,naics_code,industry_description,annual_average_employees,total_hours_worked,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_injuries,total_cases,is_correct,sectors_code,subsectors_code
"Organix Recycling, LLC.",Mokena,KS,1.0,2021-02-25 19:47:12,484220," Dry bulk trucking (except garbage collection, garbage hauling), local ",250,715000.0,0,3,0,1,4,4,True,49,484
TMI,Walton,KY,1.0,2021-02-26 18:16:32,423860," Transportation equipment and supplies (except marine pleasure craft, motor vehicles) merchant wholesalers ",37,71362.0,0,0,0,1,1,1,True,42,423
603TRO,Troy,MI,1.0,2021-02-09 14:18:04,445110,Supermarkets and Other Grocery (except Convenience) Stores,51,79688.0,0,1,0,1,1,2,False,45,445
Benevolent Cedar Community - Cedar Bay West ,West Bend ,WI,1.0,2021-03-09 16:30:20,623311, Assisted-living facilities with on-site nursing facilities ,67,77039.0,0,0,1,0,1,1,True,62,623
6340-VIKING-MN007,MINNEAPOLIS,MN,1.0,2021-09-29 21:09:59,423610,Electrical Apparatus and Equipment and Wiring,222,375691.0,0,4,2,1,7,7,True,42,423
Assessor`s Office,Auburn,CA,3.0,2021-02-09 18:24:00,921130,Property Tax Assessors` Offices,76,152000.0,0,0,0,0,0,0,True,92,921
Otis Elevator Company-Milwaukee,Milwaukee,WI,1.0,2021-03-18 20:16:17,238290,"Elevator/Escalator-Installation, Modernization, Maintenance, Service, and Repair",122,195125.0,0,0,1,1,2,2,True,23,238
055160-MORGAN HILL PO,MORGAN HILL,CA,1.0,2021-02-28 14:48:45,491110,Mail and Parcel Delivery,52,94927.0,0,2,2,0,4,4,True,49,491
Metal Works Inc,Spencer,IA,1.0,2021-02-05 20:58:40,332313," Airlocks, fabricated metal plate work, manufacturing ",62,111848.0,0,0,2,13,15,15,True,33,332
AMZL : DTP2,St. Petersburg,FL,1.0,2021-03-29 19:13:10,493110,General Warehousing and Storage,438,542102.0,0,11,12,2,23,25,False,49,493
Silgan Containers Plover,Plover,WI,1.0,2021-09-20 19:21:48,332431," Metal cans, light gauge metal, manufacturing ",84,168920.0,0,0,0,2,2,2,True,33,332
St. Paul Park Refinery,St. Paul Park,MN,1.0,2021-02-25 18:29:01,324110,Petroleum Refineries,386,806828.0,0,0,0,0,0,0,True,33,324
660-00081,PHOENIX,AZ,1.0,2021-02-23 01:57:17,445110,Retail grocery not including convenience stores,159,231422.0,0,7,2,0,2,9,False,45,445
Groveton Facility,St. Johnsbury,VT,1.0,2021-03-09 20:55:43,238390," Fabrication, metal cabinet or countertop, on site ",70,132658.0,0,0,3,1,4,4,True,23,238
Morrisville ESG,Morrisville,PA,1.0,2021-02-18 21:31:10,325120, Industrial gases manufacturing ,92,184000.0,0,1,0,0,1,1,True,33,325
Jefferson Junior High School,Naperville,IL,3.0,2021-03-09 17:39:25,611110, Elementary and secondary schools ,99,29232.0,0,0,0,0,0,0,True,61,611
Courtyard at Jamestown,Provo,UT,1.0,2021-01-14 23:30:10,623312, Assisted-living facilities without on-site nursing care facilities ,140,190320.0,0,31,3,0,3,34,False,62,623
Kinetic Systems Inc OnSemi Me,South Portland,ME,1.0,2021-02-20 01:32:18,238220, Process piping installation ,6,12480.0,0,0,0,0,0,0,True,23,238
"Magellan Aerospace, Middletown, Inc.",Middletown,OH,1.0,2021-01-13 16:15:49,336413," Aircraft assemblies, subassemblies, and parts (except engines) manufacturing ",122,273792.0,0,1,3,6,6,10,False,33,336
New Martinsville Center,New Martinsville,WV,1.0,2021-04-19 18:01:11,623110, Skilled nursing facilities ,95,189812.0,0,58,0,0,4,58,False,62,623
"Crossett, Inc. - Kennedy",Poland,NY,1.0,2021-02-18 15:11:02,484220," Tanker trucking (e.g., chemical, juice, milk, petroleum), local ",20,44761.0,0,0,0,1,1,1,True,49,484
Terminix Co Inc,Norfolk,VA,1.0,2021-03-12 21:57:45,561710," Pest control (except agricultural, forestry) services ",90,147462.0,0,2,0,0,2,2,True,56,561
TNPAR - PARIS,PARIS,TN,1.0,2021-02-26 19:06:09,492110,Couriers,74,119358.0,0,2,1,1,4,4,True,49,492
SODEXO AT LEON COUNTY EDUCATIONAL FACILITIES,TALLAHASSEE,FL,1.0,2021-03-03 16:23:48,561210,Facilities Support Services,19,27849.0,0,0,0,0,0,0,True,56,561
IHOP 3593,Zanesville,OH,1.0,2021-04-15 18:19:09,722511," Family restaurants, full service ",16,8275.0,0,0,0,0,0,0,True,72,722
Citiwide Mortgage,Oklahoma City,OK,1.0,2021-10-13 18:22:45,522310," Loan brokers' or agents' offices (i.e., independent) ",23,33569.0,0,0,0,0,0,0,True,52,522
"Dudeck Roofing & Sheet Metal, Inc.",South Bend,IN,1.0,2021-02-05 17:10:16,238160, Roofing contractors ,36,50723.0,0,0,0,0,0,0,True,23,238
Saint-Gobain Corporation,Bradenton,FL,1.0,2021-01-19 14:14:13,332323," Acoustical suspension systems, metal, manufacturing ",38,80512.0,0,0,0,1,1,1,True,33,332
JD Byrider Appleton,Appleton,WI,1.0,2021-06-08 19:48:14,441120," Automobile dealers, used only ",26,45000.0,0,0,0,0,0,0,True,45,441
"Gerstner Electric, Inc.",Fenton,MO,1.0,2021-01-08 20:48:14,238210, Low voltage electrical work ,66,121235.0,0,1,0,0,1,1,True,23,238
4256-2325,PHOENIX,AZ,1.0,2021-01-22 02:43:59,532111,Passenger car rental,22,21951.0,0,0,0,0,0,0,True,53,532
111667-CLW-CLEVELAND STA,CLEARWATER,FL,1.0,2021-02-28 14:49:34,491110,Mail and Parcel Delivery,46,82702.0,0,3,1,0,4,4,True,49,491
"Massey Construction, Inc",Alcoa,TN,1.0,2021-01-15 20:59:42,238210, Low voltage electrical work ,182,386136.0,0,0,5,4,9,9,True,23,238
"Klaussner Plant 3, 33",Asheboro ,NC,1.0,2021-02-08 17:02:24,337121," Household-type furniture, upholstered, manufacturing ",93,141440.0,0,1,3,0,4,4,True,33,337
JBT AeroTech Corporation Airport Services HAS,HOUSTON,TX,1.0,2021-02-19 17:35:54,488190,maintenance services,43,94765.0,0,0,2,0,2,2,True,49,488
Primoris Energy Services (PIFM),Houston,TX,1.0,2021-02-11 14:56:34,237990," Power plant, hydroelectric, construction ",1121,2332463.0,0,0,1,3,4,4,True,23,237
Big Horn Hospital,Hardin,MT,1.0,2021-03-29 18:05:56,622110," Hospitals, general medical and surgical ",130,195872.0,0,0,1,3,4,4,True,62,622
1855-INEVA78,NEWBURGH,IN,1.0,2021-02-25 03:58:41,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,147,223817.0,0,5,3,11,14,19,False,62,622
UNIT521,Lansing,MI,1.0,2021-02-05 17:37:56,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic (Repair and Maintenance),14,29006.0,0,0,1,0,1,1,True,81,811
Timeless Frames,Watertown,NY,1.0,2021-06-14 10:41:54,339999," Frames, mirror and picture, all materials, manufacturing ",7,13282.0,0,0,0,0,0,0,True,33,339
Store 1245,ZEPHRYHILLS,FL,1.0,2021-02-25 17:19:40,445110,Supermarkets and other grocery (except convenience) stores,152,221334.0,0,1,1,0,2,2,True,45,445
Schupan Industrial Recycling Olmstead,Kalamazoo,MI,1.0,2021-03-26 14:39:45,423930, Metal scrap and waste merchant wholesalers ,20,43779.0,0,0,0,1,1,1,True,42,423
NLM Gateway Crossing,Plano,TX,1.0,2021-01-06 22:08:19,531311," Property managers' offices, residential real estate ",6,2792.0,0,0,0,0,0,0,True,53,531
Total Concrete Services Inc,Longmont,CO,1.0,2021-02-22 20:25:52,238110," Chimney, concrete, construction ",86,171801.0,0,2,2,0,4,4,True,23,238
Henkel Corporation Salt Lake City Plant,Salt Lake City,UT,1.0,2021-02-05 18:48:14,325611," Laundry soap, chips, and powder manufacturing ",439,843088.0,0,2,1,2,4,5,False,33,325
International Paper Yuma,Yuma,AZ,1.0,2021-03-08 18:54:49,322211," Boxes, corrugated and solid fiber, made from purchased paper or paperboard ",150,279215.0,0,1,0,4,2,5,False,33,322
Lion Gables Realty LP/Urban Green-URBANGREEN,Frederick,MD,1.0,2021-03-12 19:58:51,531311,Real Estate Agents and Managers,2,14822.0,0,0,0,0,0,0,True,53,531
State of Indiana DCS - Wabash County,Wabash,IN,2.0,2021-01-26 18:35:19,624110, Child welfare services ,21,42024.0,0,0,1,0,1,1,True,62,624
MTBIL - BILLINGS,BILLINGS,MT,1.0,2021-02-26 19:01:34,492110,Couriers,408,751757.0,0,10,12,4,24,26,False,49,492
2252-00000406,OLYMPIA,WA,1.0,2021-02-10 20:10:09,621610,Home Health Care Services,559,881911.0,0,19,1,8,20,28,False,62,621
"Nico Products, Inc.",Minneapolis,MN,1.0,2021-04-12 18:11:54,332813, Electroplating metals and formed products for the trade ,121,219909.0,0,0,3,4,6,7,False,33,332
Colorado Senior Residences dba Casey's Pond Senior Living,Steamboat Springs,CO,1.0,2021-03-11 03:13:47,623110, Homes for the elderly with nursing care ,133,266000.0,0,2,0,9,11,11,True,62,623
"PA.PHILA.35 - Ricoh Usa, Inc.",PHILADELPHIA,PA,1.0,2021-02-06 01:36:24,423420,Office Equipment,7,13833.0,0,0,0,0,0,0,True,42,423
COHO Distributing LLC WIL,Portland ,OR,1.0,2021-02-02 20:13:58,424810, Beer merchant wholesalers ,59,53715.0,0,1,1,0,2,2,True,42,424
"OAKLAND PARK, FL #03109",OAKLAND PARK,FL,1.0,2021-02-25 16:00:21,444130,Hardware Store,17,9341.0,0,0,0,0,0,0,True,45,444
CA266,Gardena,CA,1.0,2021-03-05 14:57:15,444190,Other Building Materials,11,6297.0,0,0,0,0,0,0,True,45,444
Morsco Supply Co. #1080/1124,Grand Prairie ,TX,1.0,2021-02-19 04:33:44,423720, Plumbing equipment merchant wholesalers ,20,39436.0,0,1,1,0,2,2,True,42,423
R.P. Manley & Co.,Buffalo,NY,1.0,2021-02-18 17:08:23,492110,"Courier services (i.e., intercity network) (except establishments operating under a universal service obligation)",50,802823.0,0,1,0,0,1,1,True,49,492
Roy #078,Roy,UT,1.0,2021-03-08 20:31:39,445110,Store,108,168340.0,0,1,10,4,15,15,True,45,445
457,NEWPORT NEWS,VA,1.0,2021-02-25 10:31:29,445110,Supermrkts & other grocery stores,63,91709.0,0,0,0,0,0,0,True,45,445
014-00361,LAWRENCEBURG,IN,1.0,2021-02-19 17:55:05,445110,Retail grocery not including convenience stores,219,299412.0,0,2,0,2,4,4,True,45,445
PATHFINDER PLACE,FREMONT,NE,1.0,2021-02-24 22:35:22,623311,CONTINUING CARE RETIREMENT COMMUNITIES,29,30859.0,0,0,0,1,1,1,True,62,623
The tru Shrimp Company,Balaton,MN,1.0,2021-01-06 22:00:18,112512," Shrimp production, farm raising ",26,40918.0,0,0,1,0,1,1,True,11,112
3387 Transwheel,Huntington,IN,1.0,2021-01-29 16:46:14,336390,"Wheels (i.e., rims), automotive, truck, and bus, manufacturing",86,173953.0,0,1,1,1,3,3,True,33,336
Effective Home Care LLC,Brooklyn,NY,2.0,2021-02-16 21:13:12,621330," Psychoanalysts' (except MDs or DOs) offices (e.g., centers, clinics) ",792,3346264.0,0,3,0,4,7,7,True,62,621
Piggly Wiggly (#308),Chipley,FL,1.0,2021-02-05 21:54:24,445110, Grocery stores ,31,41278.0,0,0,1,5,5,6,False,45,445
Louisville Regional Airport Authority,Louisville,KY,1.0,2021-08-11 20:42:44,488119," Airport operators (e.g., civil, international, national) ",134,330442.0,0,0,5,2,7,7,True,49,488
DuPont Electronic Polymers L.P.,Dayton,OH,1.0,2021-02-16 13:14:15,325211, Phenolic resins manufacturing ,61,114415.0,0,0,0,0,0,0,True,33,325
"Vector Laboratories, Inc.",Burlingame,CA,1.0,2021-02-09 22:48:22,325413," Diagnostic substances, in-vitro, manufacturing ",70,140000.0,0,0,0,0,0,0,True,33,325
Brookdale Napa,Vacaville,CA,1.0,2021-03-09 19:44:54,623312, Assisted-living facilities without on-site nursing care facilities ,54,92445.0,0,1,2,0,3,3,True,62,623
McAllen TX Yard,McAllen,TX,1.0,2021-02-09 14:41:02,444190,Other Building Materials Dealers,22,53709.0,0,0,1,0,1,1,True,45,444
Best Choice Roofing Middle Tennessee LLC,Hendersonville,TN,1.0,2021-04-06 18:24:52,238160,Roofing Contractor ,82,170560.0,0,1,0,0,1,1,True,23,238
"LARSON DAIRY, INC.",OKEECHOBEE,FL,1.0,2021-02-16 18:01:09,112120," Milk production, dairy cattle ",80,225680.0,0,7,2,2,10,11,False,11,112
PVS Chemicals - Corporate,Detroit,MI,1.0,2021-02-02 14:09:24,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,115,248400.0,0,0,0,0,0,0,True,33,325
Arabelle Perimeter,Sandy Springs,GA,1.0,2021-01-06 19:20:23,531311, Apartment managers' offices ,7,13680.0,0,0,0,0,0,0,True,53,531
660-00060,GLENDALE,AZ,1.0,2021-02-23 01:57:09,445110,Retail grocery not including convenience stores,145,224969.0,0,1,2,1,3,4,False,45,445
Roslyn Harbor,Roslyn,NY,1.0,2021-02-26 19:24:31,623312, Assisted-living facilities without on-site nursing care facilities ,64,106414.0,0,1,0,0,1,1,True,62,623
2807-2272,CASA GRANDE,AZ,1.0,2021-01-28 22:27:13,444110,Homecenter,130,208757.0,0,2,0,0,2,2,True,45,444
Rich Products Fresno,Fresno,CA,1.0,2021-02-25 20:52:11,311811," Bakeries with baking from flour on the premises, retailing not for immediate consumption ",118,226046.0,0,1,3,0,4,4,True,33,311
Central Ofice,NEW FAIRFIELD,CT,3.0,2021-02-05 16:10:30,611110, Elementary and secondary schools ,7,14560.0,0,0,0,0,0,0,True,61,611
USM Store #523  (United),Amarillo,TX,1.0,2021-03-08 01:24:06,445110,Supermarket,254,297320.0,0,1,4,2,7,7,True,45,445
350911-BRX-RIVERDALE STA,BRONX,NY,1.0,2021-02-27 23:51:13,491110,Mail and Parcel Delivery,48,86324.0,0,2,0,0,2,2,True,49,491
IAH George Bush International Airport,Houston,TX,1.0,2021-03-10 21:01:47,488119, Airport baggage handling services ,281,443969.0,0,0,0,11,11,11,True,49,488
19 Antioch,Antioch,CA,1.0,2021-01-26 21:41:19,713940, Fitness centers ,30,21791.0,0,0,0,2,1,2,False,71,713
Fortiline Waterworks #6032,Charlotte,NC,1.0,2021-02-19 04:12:42,423720, Plumbing equipment merchant wholesalers ,28,57513.0,0,0,1,0,1,1,True,42,423
Community Center,New Brighton,MN,3.0,2021-01-26 21:31:13,924120," Community recreation programs, government ",89,55109.0,0,0,0,0,0,0,True,92,924
Carol Stream PD2,Carol Stream,IL,1.0,2021-02-09 22:31:04,326112," Flexible packaging, plastics film, manufacturing ",148,243598.0,0,0,0,1,0,1,False,33,326
Head Office,Anoka,MN,1.0,2021-01-13 14:49:17,332996," Couplings, pipe, made from purchased metal pipe ",43,90078.0,0,11,0,0,4,11,False,33,332
Ashland Farm LLC,AURORA,NY,1.0,2021-02-23 12:04:04,112120," Milk production, dairy cattle ",33,68640.0,0,0,0,0,0,0,True,11,112
Featherlite Exhibits,Minneapolis,MN,1.0,2021-01-19 15:51:21,339950," Displays (e.g., counter, floor, point-of-purchase) manufacturing ",25,47000.0,0,0,0,0,0,0,True,33,339
Arkansas Products Company,Harrison,AR,1.0,2021-02-24 14:10:34,321918," Flooring, wood, manufacturing ",14,27618.0,0,1,0,0,1,1,True,33,321
Northeast Services,Fort Worth,TX,1.0,2021-02-10 14:40:17,237130," Utility line (i.e., communication, electric power), construction ",130,288216.0,0,2,2,0,4,4,True,23,237
UT4 Mark Miller Toyota,Salt Lake City,UT,1.0,2021-01-28 21:42:19,423130,WHOLESALE TIRE DISTRIBUTION,1,1932.0,0,0,0,0,0,0,True,42,423
"Proclaim Painting, LLC",Cleveland ,OH,1.0,2021-01-27 22:15:16,238320, Painting (except roof) contractors ,27,65804.0,0,0,0,0,0,0,True,23,238
"SEL: Lewiston, ID",Lewiston,ID,1.0,2021-02-11 00:04:32,335314," Relays, electrical and electronic, manufacturing ",604,1100448.0,0,3,10,2,15,15,True,33,335
Bradford Industries,Lowell,MA,1.0,2021-03-22 13:25:10,313320, Vinyl coated fabrics manufacturing ,71,120082.0,0,8,0,1,7,9,False,33,313
Westport Public Schools,Westport,CT,3.0,2021-02-08 14:18:28,611110, Elementary and secondary schools ,924,1368691.0,0,6,0,1,5,7,False,61,611
AZT010,Tucson,AZ,1.0,2021-02-26 21:43:33,441320,Tire Dealers,24,31769.0,0,0,0,0,0,0,True,45,441
Highland Hospital,Rochester,NY,1.0,2021-02-08 16:02:08,622110, General medical and surgical hospitals ,2793,4486797.0,0,202,5,66,105,273,False,62,622
1460,BROOKLYN CENTER,MN,1.0,2021-02-09 23:49:49,721110,MOTELS/HOTELS,37,22847.0,0,0,0,4,4,4,True,72,721
ISD 659 Longfellow Elementary ,Northfield,MN,1.0,2021-02-03 14:35:13,611110, Elementary and secondary schools ,45,55157.0,0,0,0,0,0,0,True,61,611
DGS Aviation Services : CID - Cedar Rapids, Cedar Rapids,IA,1.0,2021-02-25 15:07:18,488119,Support Activities for Air Transportation,76,127674.0,0,0,2,1,3,3,True,49,488
Murray Elementary School,Charlottesville,VA,3.0,2021-03-10 04:09:50,611110,Elementary and Secondary Schools,40,53336.0,0,0,0,0,0,0,True,61,611
Miller Weldmaster ,Navarre ,OH,1.0,2021-02-03 20:09:15,333514," Welding positioners (i.e., jigs) manufacturing ",98,190000.0,0,0,0,0,0,0,True,33,333
Keystone Potato Products,Hegins,PA,1.0,2021-02-17 14:50:53,311423," Dehydrating potato products (e.g., flakes, granules) ",51,99130.0,0,0,2,0,2,2,True,33,311
Mohegan Sun Pocono ,Wilkes-Barre,PA,1.0,2021-03-09 15:56:55,713290," Gambling control boards, operating gambling activities ",1052,948330.0,0,7,2,9,17,18,False,71,713
Homeland 856,Nowata,OK,1.0,2021-03-08 21:53:32,445110, Grocery stores ,27,47444.0,0,1,0,1,2,2,True,45,445
Direct Refrigeration Sales,Cumming,GA,1.0,2021-03-08 18:43:01,339991, Gaskets manufacturing ,25,43103.0,0,0,0,0,0,0,True,33,339
KYVLL - OUTERLOOP HEALTHCARE FACILITY,LOUISVILLE,KY,1.0,2021-02-26 18:59:29,493110,General Warehousing and Storage,274,635226.0,0,2,3,6,11,11,True,49,493
"S&K Engineering and Research, LLC",St. Ignatius,MT,1.0,2021-04-07 03:43:58,488190," Aircraft maintenance and repair services (except factory conversion, factory overhaul, factory rebuilding) ",62,96769.0,0,0,0,0,0,0,True,49,488
Bearcom - Birmingham,BIRMINGHAM,AL,1.0,2021-03-10 22:42:53,423690,Other Electronic Parts and Equipment Merchant Wholesalers,6,10487.0,0,0,0,0,0,0,True,42,423
Achilles Inc.,Tucson,AZ,1.0,2021-02-12 18:19:11,238220," HVAC (heating, ventilation and air-conditioning) contractors ",88,171351.0,0,1,0,8,9,9,True,23,238
Athens Shop,Athens,GA,1.0,2021-02-03 16:40:17,327320, Ready-mix concrete manufacturing and distributing ,2,4758.0,0,0,0,0,0,0,True,33,327
Hall Financial Group - Hall Park,Dallas,TX,1.0,2021-02-05 15:16:42,531120, Real estate rental or leasing of nonresidential building (except miniwarehouse) ,33,59868.0,0,0,0,0,0,0,True,53,531
National Safety Apparel Inc.,Cleveland,OH,1.0,2021-03-09 15:10:22,339113," Personal safety devices, not specified elsewhere, manufacturing ",314,596500.0,0,2,3,1,6,6,True,33,339
Tri-State Demolition LLC,Tallahassee,FL,1.0,2021-01-27 18:55:25,238910, Demolition contractor ,17,29318.0,0,0,0,0,0,0,True,23,238
TXS025,San Antonio,TX,1.0,2021-02-26 21:49:58,441320,Tire Dealers,20,29680.0,0,0,0,1,1,1,True,45,441
PotlatchDeltic Corporation,El Dorado,AR,1.0,2021-03-24 20:31:36,321113, Sawmills ,22,40337.0,0,0,0,0,0,0,True,33,321
115325-LONGBOAT KEY PO,LONGBOAT KEY,FL,1.0,2021-02-28 14:45:53,491110,Mail and Parcel Delivery,17,31391.0,0,2,0,1,3,3,True,49,491
MILAN  MI,MILAN,MI,1.0,2021-01-22 17:46:14,424490,Other Grocery and Related Products Merchant Wholesalers,50,107882.0,0,0,3,0,3,3,True,42,424
Comm Ed,Paynesville,MN,2.0,2021-01-28 17:40:51,611110,K-12 Education,0,0.0,0,0,0,0,0,0,True,61,611
Job Corps Head Start Center,Albuquerque,NM,1.0,2021-04-01 16:51:28,624410," Head start programs, separate from schools ",15,27711.0,0,0,0,0,0,0,True,62,624
058466-WILLIAMS PO,WILLIAMS,CA,1.0,2021-02-26 02:43:10,491110,Mail and Parcel Delivery,7,12224.0,0,0,1,0,1,1,True,49,491
482857-ELP-SANDY CREEK STA,EL PASO,TX,1.0,2021-02-28 15:07:59,491110,Mail and Parcel Delivery,136,245994.0,0,1,4,2,7,7,True,49,491
Cleary Building - Sheridan,Sheridan,WY,1.0,2021-03-11 13:42:15,238130, Post framing contractors ,12,24347.0,0,0,0,1,1,1,True,23,238
U.S. Materials Handling Corp,Utica,NY,1.0,2021-01-22 19:10:56,238290, Materials handling equipment installation ,22,26340.0,0,0,0,0,0,0,True,23,238
"NY.BRONX.10 - Ricoh Americas Holdings, Inc.",BRONX,NY,1.0,2021-02-06 01:29:07,423420,Office Equipment,1,2000.0,0,0,0,0,0,0,True,42,423
7040-PFJLM-MEMPHIS MIDTOWN TN,MEMPHIS,TN,1.0,2021-04-26 15:33:15,713940,FITNESS,19,16098.0,0,0,0,0,0,0,True,71,713
ASIG-414HSV,Huntsville,AL,1.0,2021-03-09 07:21:51,488190,Support Activities for Air Transportation,7,13611.0,0,0,0,0,0,0,True,49,488
TranSource-Clinton,Clinton,NC,1.0,2021-02-09 19:01:58,423110," Truck tractors, road, merchant wholesalers ",15,33633.0,0,0,0,0,0,0,True,42,423
NA-US-CA-Vista-Oak Ridge Way,Vista,CA,1.0,2021-03-09 18:30:06,237130,Solar Construction and Design,53,115555.0,0,2,4,1,5,7,False,23,237
41-Doubletree Hotel Cincinnati Airport,Hebron,KY,1.0,2021-01-08 19:53:41,721110, Hotels (except casino hotels) ,25,47194.0,0,0,0,0,0,0,True,72,721
4769-6201-REJUVENATION STORES,SAN RAMOM,CA,1.0,2021-02-26 22:59:57,423210,Furniture Merchant Wholesalers,16,20473.0,0,0,0,0,0,0,True,42,423
"School Apparel, Inc.",Star City,AR,1.0,2021-02-22 18:14:54,315190, Ensemble dresses made in apparel knitting mills ,170,357680.0,0,4,0,4,6,8,False,33,315
"Messer Construction - Dayton, OH",Dayton,OH,1.0,2021-01-28 20:11:34,236220, Commercial building construction general contractors ,95,143674.0,0,0,0,0,0,0,True,23,236
COD017,Englewood,CO,1.0,2021-02-26 21:44:52,441320,Tire Dealers,21,27929.0,0,0,1,0,1,1,True,45,441
Power Contracting Arizona Statewide ,Phoenix,AL,1.0,2021-01-29 17:45:09,237130, Electric power transmission line and tower construction ,169,389793.0,0,1,0,2,3,3,True,23,237
Brookdale Eden,Eden,NC,1.0,2021-02-01 20:47:35,623312, Assisted-living facilities without on-site nursing care facilities ,27,44416.0,0,0,1,1,2,2,True,62,623
2224,Seaford,DE,1.0,2021-02-25 10:39:10,445110,Supermrkts & other grocery stores,100,124496.0,0,2,0,0,2,2,True,45,445
GEODIS LOGISTICS US 90,Coppell,TX,1.0,2021-02-04 16:31:51,493110,general warehousing,190,380674.0,0,0,2,0,2,2,True,49,493
6400-SWY-0020-0023-01776,KINGWOOD,TX,1.0,2021-02-24 03:36:27,445110,Supermarkets and Other Grocery (except Convenience) Stores,63,13389.0,0,0,0,0,0,0,True,45,445
North Branch Area Public Schools,North Branch,MN,1.0,2021-02-10 18:25:49,722310," Cafeteria food services contractors (e.g., government office cafeterias, hospital cafeterias, school cafeterias) ",31,18560.0,0,0,0,0,0,0,True,72,722
016220-OZARK PO,OZARK,AL,1.0,2021-02-26 02:40:20,491110,Mail and Parcel Delivery,33,59612.0,0,0,1,0,1,1,True,49,491
Mercy San Juan Medical Center,Carmichael,CA,1.0,2021-02-12 00:22:02,622110, General medical and surgical hospitals ,2234,3429400.0,0,108,31,159,122,298,False,62,622
The Weitz Company - Florida Office - The Standard at Coral Gables Project,Coral Gables,FL,1.0,2021-02-02 21:41:03,236220, Commercial building construction general contractors ,15,31351.0,0,0,0,0,0,0,True,23,236
Honea Path ,Honea Path,SC,1.0,2021-02-12 20:44:53,332991, ,258,421993.0,0,0,0,1,1,1,True,33,332
Food City Store #626,Alcoa,TN,1.0,2021-02-10 18:21:07,445110, Supermarkets ,81,115502.0,0,2,1,0,3,3,True,45,445
Colonial Springs Healthcare Center,Buffalo,MO,1.0,2021-03-10 21:35:07,623110, Nursing homes ,113,218322.0,0,30,3,1,5,34,False,62,623
Braga Fresh Foods,Salinas,CA,1.0,2021-02-20 20:21:47,311991," Salads, fresh or refrigerated, manufacturing ",341,891049.0,0,2,0,11,13,13,True,33,311
Viking SupplyNet - Columbus,Columbus,OH,1.0,2021-03-12 16:47:44,423850," Sprinkler systems, fire, merchant wholesalers ",31,62539.0,0,1,0,0,1,1,True,42,423
Fort Smith AR FXFE-FSM,Fort Smith          ,AR,1.0,2021-02-23 14:44:14,484122,Less Than Truckload General Freight Trucking,88,208926.0,0,1,0,2,3,3,True,49,484
"Electrical Workforce Solutions, LLC",Chapel Hill,NC,1.0,2021-03-30 18:59:19,238210, Electric contracting ,229,506523.0,0,6,0,0,6,6,True,23,238
Chatt - Fire Station 22,Chattanooga,TN,3.0,2021-02-09 18:52:23,921110,government,2700,4182582.0,0,0,0,0,0,0,True,92,921
